Survey Years,Sex,Age Group,Race and Hispanic Origin,Measure,Percent,Standard Error,Lower 95% CI Limit,Upper 95% CI Limit,Presentation Standard,Note1,Note2,Notea,Noteb
2015-2016,All,20-69,All,Untreated Dental Caries in Permanent Teeth,25.9,2.0,21.8,30.4,,,,,
2015-2016,Male,20-69,All,Untreated Dental Caries in Permanent Teeth,28.5,2.0,24.3,33.0,,,,,
2015-2016,Female,20-69,All,Untreated Dental Caries in Permanent Teeth,23.5,2.3,18.7,28.9,,,,,
2015-2016,All,20-29,All,Untreated Dental Caries in Permanent Teeth,27.4,2.2,22.8,32.4,,,,,
2015-2016,Male,20-29,All,Untreated Dental Caries in Permanent Teeth,29.7,2.4,24.6,35.2,,,,,
2015-2016,Female,20-29,All,Untreated Dental Caries in Permanent Teeth,25.1,3.5,18.0,33.4,,,,,
2015-2016,All,30-39,All,Untreated Dental Caries in Permanent Teeth,28.2,2.9,22.0,34.9,,,,,
2015-2016,Male,30-39,All,Untreated Dental Caries in Permanent Teeth,30.5,3.3,23.7,38.1,,,,,
2015-2016,Female,30-39,All,Untreated Dental Caries in Permanent Teeth,26.0,3.0,19.7,33.0,,,,,
2015-2016,All,40-49,All,Untreated Dental Caries in Permanent Teeth,27.0,3.2,20.4,34.4,,,,,
2015-2016,Male,40-49,All,Untreated Dental Caries in Permanent Teeth,28.2,3.4,21.1,36.1,,,,,
2015-2016,Female,40-49,All,Untreated Dental Caries in Permanent Teeth,25.8,3.7,18.3,34.6,,,,,
2015-2016,All,50-59,All,Untreated Dental Caries in Permanent Teeth,25.7,2.8,19.8,32.3,,,,,
2015-2016,Male,50-59,All,Untreated Dental Caries in Permanent Teeth,29.7,3.5,22.4,37.8,,,,,
2015-2016,Female,50-59,All,Untreated Dental Caries in Permanent Teeth,21.8,3.0,15.7,29.0,,,,,
2015-2016,All,60-69,All,Untreated Dental Caries in Permanent Teeth,22.5,2.5,17.4,28.2,,,,,
2015-2016,Male,60-69,All,Untreated Dental Caries in Permanent Teeth,25.5,2.8,19.6,32.1,,,,,
2015-2016,Female,60-69,All,Untreated Dental Caries in Permanent Teeth,19.6,3.1,13.4,27.2,,,,,
2015-2016,All,20-69,Non-Hispanic White,Untreated Dental Caries in Permanent Teeth,21.8,4.9,18.4,25.5,,,,,
2015-2016,All,20-69,Non-Hispanic Black,Untreated Dental Caries in Permanent Teeth,41.5,10.8,33.6,49.6,,,,,
2015-2016,All,20-69,Non-Hispanic Asian,Untreated Dental Caries in Permanent Teeth,16.9,2.5,11.9,23.1,,,,,
2015-2016,All,20-69,Hispanic,Untreated Dental Caries in Permanent Teeth,35.1,6.5,28.2,42.4,,,,,
2015-2016,All,20-69,Mexican American,Untreated Dental Caries in Permanent Teeth,38.9,4.9,28.4,50.2,,,,,
2017-2018,All,2-11,All,Total Dental Caries in Primary Teeth,36.0,2.6,30.4,41.9,,,,,
2017-2018,Male,2-11,All,Total Dental Caries in Primary Teeth,37.2,2.6,31.6,43.1,,,,,
2017-2018,Female,2-11,All,Total Dental Caries in Primary Teeth,34.7,2.9,28.5,41.3,,,,,
2017-2018,All,2-5,All,Total Dental Caries in Primary Teeth,22.8,2.6,17.4,28.9,,,,,
2017-2018,Male,2-5,All,Total Dental Caries in Primary Teeth,22.6,3.5,15.6,31.0,,,,,
2017-2018,Female,2-5,All,Total Dental Caries in Primary Teeth,22.9,3.0,16.7,30.1,,,,,
2017-2018,All,6-11,All,Total Dental Caries in Primary Teeth,45.9,3.4,38.5,53.4,,,,,
2017-2018,Male,6-11,All,Total Dental Caries in Primary Teeth,47.4,3.7,39.4,55.5,,,,,
2017-2018,Female,6-11,All,Total Dental Caries in Primary Teeth,44.1,3.9,35.8,52.8,,,,,
2017-2018,All,2-11,Non-Hispanic White,Total Dental Caries in Primary Teeth,28.3,2.1,24.0,33.0,,,,,
2017-2018,All,2-11,Non-Hispanic Black,Total Dental Caries in Primary Teeth,32.3,5.4,20.7,45.9,,,,,
2017-2018,All,2-11,Non-Hispanic Asian,Total Dental Caries in Primary Teeth,47.0,4.5,36.0,58.1,Estimate does not meet National Center for Health Statistics standards of reliability,,,,
2017-2018,All,2-11,Hispanic,Total Dental Caries in Primary Teeth,49.7,5.3,37.9,61.5,,,,,
2017-2018,All,2-11,Mexican American,Total Dental Caries in Primary Teeth,56.4,5.7,43.0,69.1,,,,,
2017-2018,All,6-19,All,Total Dental Caries in Permanent Teeth,37.9,2.0,33.7,42.3,,,,,
2017-2018,Male,6-19,All,Total Dental Caries in Permanent Teeth,36.9,2.4,31.8,42.3,,,,,
2017-2018,Female,6-19,All,Total Dental Caries in Permanent Teeth,39.0,2.5,33.6,44.5,,,,,
2017-2018,All,6-11,All,Total Dental Caries in Permanent Teeth,14.8,2.1,10.6,19.8,,,,,
2017-2018,Male,6-11,All,Total Dental Caries in Permanent Teeth,12.5,1.9,8.7,17.1,,,,,
2017-2018,Female,6-11,All,Total Dental Caries in Permanent Teeth,17.1,2.9,11.4,24.3,,,,,
2017-2018,All,12-19,All,Total Dental Caries in Permanent Teeth,54.7,2.2,49.9,59.5,,,,,
2017-2018,Male,12-19,All,Total Dental Caries in Permanent Teeth,54.6,3.2,47.4,61.6,,,,,
2017-2018,Female,12-19,All,Total Dental Caries in Permanent Teeth,54.8,2.8,48.6,61.0,,,,,
2017-2018,All,6-19,Non-Hispanic White,Total Dental Caries in Permanent Teeth,35.8,2.3,30.9,40.8,,,,,
2017-2018,All,6-19,Non-Hispanic Black,Total Dental Caries in Permanent Teeth,35.1,5.5,23.2,48.4,,,,,
2017-2018,All,6-19,Non-Hispanic Asian,Total Dental Caries in Permanent Teeth,34.3,3.6,26.6,42.6,,,,,
2017-2018,All,6-19,Hispanic,Total Dental Caries in Permanent Teeth,44.6,3.1,37.9,51.4,,,,,
2017-2018,All,6-19,Mexican American,Total Dental Caries in Permanent Teeth,44.9,4.0,36.2,54.0,,,,,
2017-2018,All,20-69,All,Total Dental Caries in Permanent Teeth,88.4,1.0,86.0,90.5,,,,,
2017-2018,Male,20-69,All,Total Dental Caries in Permanent Teeth,86.8,1.1,84.2,89.2,,,,,
2017-2018,Female,20-69,All,Total Dental Caries in Permanent Teeth,89.9,1.4,86.5,92.6,,,,,
2017-2018,All,20-29,All,Total Dental Caries in Permanent Teeth,72.1,1.9,67.9,76.1,,,,,
2017-2018,Male,20-29,All,Total Dental Caries in Permanent Teeth,70.4,3.3,62.8,77.3,,,,,
2017-2018,Female,20-29,All,Total Dental Caries in Permanent Teeth,73.8,2.9,67.0,79.9,,,,,
2017-2018,All,30-39,All,Total Dental Caries in Permanent Teeth,82.9,2.4,77.1,87.8,,,,,
2017-2018,Male,30-39,All,Total Dental Caries in Permanent Teeth,83.0,2.9,75.7,88.8,,,,,
2017-2018,Female,30-39,All,Total Dental Caries in Permanent Teeth,82.9,3.6,73.8,89.8,,,,,
2017-2018,All,40-49,All,Total Dental Caries in Permanent Teeth,92.6,1.6,88.3,95.6,,,,,
2017-2018,Male,40-49,All,Total Dental Caries in Permanent Teeth,88.5,2.5,82.0,93.4,,,,,
2017-2018,Female,40-49,All,Total Dental Caries in Permanent Teeth,96.6,0.9,94.2,98.2,,,,,
2017-2018,All,50-59,All,Total Dental Caries in Permanent Teeth,95.4,0.7,93.7,96.8,,,,,
2017-2018,Male,50-59,All,Total Dental Caries in Permanent Teeth,92.9,1.5,89.1,95.8,,,,,
2017-2018,Female,50-59,All,Total Dental Caries in Permanent Teeth,97.8,0.6,95.9,99.0,,,,,
2017-2018,All,60-69,All,Total Dental Caries in Permanent Teeth,96.3,0.9,93.8,98.1,,,,,
2017-2018,Male,60-69,All,Total Dental Caries in Permanent Teeth,97.0,0.6,94.9,98.4,,,,,
2017-2018,Female,60-69,All,Total Dental Caries in Permanent Teeth,95.8,1.5,91.1,98.4,,,,,
2017-2018,All,20-69,Non-Hispanic White,Total Dental Caries in Permanent Teeth,90.3,3.9,87.2,92.9,,,,,
2017-2018,All,20-69,Non-Hispanic Black,Total Dental Caries in Permanent Teeth,86.4,4.8,82.6,89.7,,,,,
2017-2018,All,20-69,Non-Hispanic Asian,Total Dental Caries in Permanent Teeth,80.0,1.7,76.0,83.5,,,,,
2017-2018,All,20-69,Hispanic,Total Dental Caries in Permanent Teeth,87.0,3.2,83.1,90.2,,,,,
2017-2018,All,20-69,Mexican American,Total Dental Caries in Permanent Teeth,84.0,2.3,78.1,88.8,,,,,
2017-2018,All,60 and over,All,Complete Tooth Loss,11.6,15.0,8.3,15.7,,,,,
2017-2018,Male,60 and over,All,Complete Tooth Loss,12.2,15.0,8.2,17.4,,,,,
2017-2018,Female,60 and over,All,Complete Tooth Loss,11.1,15.0,7.8,15.3,,,,,
2017-2018,All,60-69,All,Complete Tooth Loss,9.8,15.0,6.0,14.9,,,,,
2017-2018,Male,60-69,All,Complete Tooth Loss,11.3,15.0,6.4,18.1,,,,,
2017-2018,Female,60-69,All,Complete Tooth Loss,8.5,15.0,4.9,13.5,,,,,
2017-2018,All,70 and over,All,Complete Tooth Loss,13.7,15.0,10.5,17.5,,,,,
2017-2018,Male,70 and over,All,Complete Tooth Loss,13.4,15.0,9.6,18.0,,,,,
2017-2018,Female,70 and over,All,Complete Tooth Loss,14.0,15.0,10.1,18.7,,,,,
2017-2018,All,60 and over,Non-Hispanic White,Complete Tooth Loss,10.7,15.0,6.2,16.8,,,,,
2017-2018,All,60 and over,Non-Hispanic Black,Complete Tooth Loss,18.1,15.0,12.3,25.1,,,,,
2017-2018,All,60 and over,Non-Hispanic Asian,Complete Tooth Loss,10.0,12.0,4.2,19.2,Estimate does not meet National Center for Health Statistics standards of reliability,,,,
2017-2018,All,60 and over,Hispanic,Complete Tooth Loss,11.5,15.0,7.1,17.2,,,,,
2017-2018,All,60 and over,Mexican American,Complete Tooth Loss,10.9,7.0,6.9,16.1,Estimate does not meet National Center for Health Statistics standards of reliability,,,,
2017-2018,All,2-11,All,Untreated Dental Caries in Primary Teeth,13.2,1.3,10.6,16.1,,,,,
2017-2018,Male,2-11,All,Untreated Dental Caries in Primary Teeth,13.5,1.8,9.8,17.9,,,,,
2017-2018,Female,2-11,All,Untreated Dental Caries in Primary Teeth,12.8,1.3,10.1,16.0,,,,,
2017-2018,All,2-5,All,Untreated Dental Caries in Primary Teeth,12.0,2.1,7.8,17.4,,,,,
2017-2018,Male,2-5,All,Untreated Dental Caries in Primary Teeth,12.4,3.1,6.5,20.8,,,,,
2017-2018,Female,2-5,All,Untreated Dental Caries in Primary Teeth,11.7,1.9,7.9,16.4,,,,,
2017-2018,All,6-11,All,Untreated Dental Caries in Primary Teeth,14.0,1.3,11.3,17.1,,,,,
2017-2018,Male,6-11,All,Untreated Dental Caries in Primary Teeth,14.2,1.6,11.0,17.9,,,,,
2017-2018,Female,6-11,All,Untreated Dental Caries in Primary Teeth,13.8,2.0,9.8,18.6,,,,,
2017-2018,All,2-11,Non-Hispanic White,Untreated Dental Caries in Primary Teeth,9.7,1.7,6.4,13.9,,,,,
2017-2018,All,2-11,Non-Hispanic Black,Untreated Dental Caries in Primary Teeth,13.2,2.4,8.2,19.5,,,,,
2017-2018,All,2-11,Non-Hispanic Asian,Untreated Dental Caries in Primary Teeth,20.6,3.7,12.5,30.9,Estimate does not meet National Center for Health Statistics standards of reliability,,,,
2017-2018,All,2-11,Hispanic,Untreated Dental Caries in Primary Teeth,17.8,2.4,12.9,23.5,,,,,
2017-2018,All,2-11,Mexican American,Untreated Dental Caries in Primary Teeth,19.4,3.0,13.2,27.0,,,,,
2017-2018,All,6-19,All,Untreated Dental Caries in Permanent Teeth,7.0,0.7,5.5,8.8,,,,,
2017-2018,Male,6-19,All,Untreated Dental Caries in Permanent Teeth,7.6,1.1,5.4,10.3,,,,,
2017-2018,Female,6-19,All,Untreated Dental Caries in Permanent Teeth,6.5,0.8,4.8,8.5,,,,,
2017-2018,All,6-11,All,Untreated Dental Caries in Permanent Teeth,2.9,1.0,1.2,5.8,,,,,
2017-2018,Male,6-11,All,Untreated Dental Caries in Permanent Teeth,1.8,0.6,0.7,3.5,,,,,
2017-2018,Female,6-11,All,Untreated Dental Caries in Permanent Teeth,4.1,1.7,1.3,9.4,,,,,
2017-2018,All,12-19,All,Untreated Dental Caries in Permanent Teeth,10.0,1.2,7.6,12.8,,,,,
2017-2018,Male,12-19,All,Untreated Dental Caries in Permanent Teeth,11.8,1.8,8.1,16.3,,,,,
2017-2018,Female,12-19,All,Untreated Dental Caries in Permanent Teeth,8.2,0.9,6.1,10.8,,,,,
2017-2018,All,6-19,Non-Hispanic White,Untreated Dental Caries in Permanent Teeth,6.4,1.3,3.9,9.9,,,,,
2017-2018,All,6-19,Non-Hispanic Black,Untreated Dental Caries in Permanent Teeth,7.7,2.0,4.0,13.4,,,,,
2017-2018,All,6-19,Non-Hispanic Asian,Untreated Dental Caries in Permanent Teeth,8.6,3.1,3.2,17.8,Estimate does not meet National Center for Health Statistics standards of reliability,,,,
2017-2018,All,6-19,Hispanic,Untreated Dental Caries in Permanent Teeth,8.0,1.7,4.6,12.6,,,,,
2017-2018,All,6-19,Mexican American,Untreated Dental Caries in Permanent Teeth,6.5,1.8,3.2,11.4,,,,,
2017-2018,All,20-69,All,Untreated Dental Caries in Permanent Teeth,23.2,1.9,19.2,27.6,,,,,
2017-2018,Male,20-69,All,Untreated Dental Caries in Permanent Teeth,26.1,2.2,21.4,31.1,,,,,
2017-2018,Female,20-69,All,Untreated Dental Caries in Permanent Teeth,20.6,1.9,16.6,25.0,,,,,
2017-2018,All,20-29,All,Untreated Dental Caries in Permanent Teeth,22.1,2.6,16.8,28.3,,,,,
2017-2018,Male,20-29,All,Untreated Dental Caries in Permanent Teeth,23.8,3.1,17.5,31.1,,,,,
2017-2018,Female,20-29,All,Untreated Dental Caries in Permanent Teeth,20.4,3.3,13.8,28.5,,,,,
2017-2018,All,30-39,All,Untreated Dental Caries in Permanent Teeth,25.3,2.7,19.6,31.6,,,,,
2017-2018,Male,30-39,All,Untreated Dental Caries in Permanent Teeth,27.6,3.4,20.6,35.6,,,,,
2017-2018,Female,30-39,All,Untreated Dental Caries in Permanent Teeth,23.0,3.0,16.9,30.1,,,,,
2017-2018,All,40-49,All,Untreated Dental Caries in Permanent Teeth,25.3,3.0,19.1,32.3,,,,,
2017-2018,Male,40-49,All,Untreated Dental Caries in Permanent Teeth,28.2,3.6,20.8,36.7,,,,,
2017-2018,Female,40-49,All,Untreated Dental Caries in Permanent Teeth,22.4,3.6,15.1,31.1,,,,,
2017-2018,All,50-59,All,Untreated Dental Caries in Permanent Teeth,23.4,2.9,17.4,30.3,,,,,
2017-2018,Male,50-59,All,Untreated Dental Caries in Permanent Teeth,26.0,3.7,18.4,34.8,,,,,
2017-2018,Female,50-59,All,Untreated Dental Caries in Permanent Teeth,21.0,3.0,14.9,28.3,,,,,
2017-2018,All,60-69,All,Untreated Dental Caries in Permanent Teeth,24.6,2.7,19.1,30.9,,,,,
2017-2018,Male,60-69,All,Untreated Dental Caries in Permanent Teeth,29.6,3.4,22.6,37.5,,,,,
2017-2018,Female,60-69,All,Untreated Dental Caries in Permanent Teeth,20.2,3.7,12.9,29.4,,,,,
2017-2018,All,20-69,Non-Hispanic White,Untreated Dental Caries in Permanent Teeth,20.6,7.7,15.4,26.7,,,,,
2017-2018,All,20-69,Non-Hispanic Black,Untreated Dental Caries in Permanent Teeth,38.6,6.9,33.6,43.7,,,,,
2017-2018,All,20-69,Non-Hispanic Asian,Untreated Dental Caries in Permanent Teeth,15.7,1.6,12.4,19.4,,,,,
2017-2018,All,20-69,Hispanic,Untreated Dental Caries in Permanent Teeth,23.5,3.2,20.2,27.1,,,,,
2017-2018,All,20-69,Mexican American,Untreated Dental Caries in Permanent Teeth,23.2,2.6,17.7,29.4,,,,,
